doc_id,party,year,n_quasisentences,RILE,RILE_lo,RILE_hi,GAL_share,TAN_share,GAL_TAN,GAL_TAN_lo,GAL_TAN_hi,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706
BE_2019,BE,2019,2370,-24.7,-26.72,-22.76,17.974,7.237,-10.74,-12.34,-9.23,0.023,0.021,0.357,0.046,0.179,0.072,0.197,0.138,0.075,1.024,1.606,2.626,0.059,0.039,1.057,0.088,2.552,1.914,3.149,0.649,0.841,2.392,0.19,0.056,0.062,0.039,0.837,2.509,0.623,6.82,1.043,3.28,3.0,0.157,5.011,6.547,3.106,13.148,15.27,0.652,6.279,0.054,0.265,0.294,0.178,0.768,1.743,0.126,0.535,0.134,5.106,0.149,1.267,0.411,0.48,0.757
CDSPP_2019,CDSPP,2019,2975,3.84,1.88,5.73,11.746,14.953,3.21,1.78,4.61,0.477,0.007,0.029,1.386,0.071,0.013,0.94,0.269,0.04,0.158,0.928,1.928,0.066,0.078,1.322,0.097,9.446,1.146,1.33,4.347,7.082,2.635,0.216,0.103,0.118,0.232,0.996,0.75,3.326,9.489,0.177,0.095,1.742,0.019,2.022,5.248,2.82,2.931,8.809,2.571,7.916,0.266,0.826,0.138,2.105,0.078,5.696,0.535,0.112,0.087,2.056,0.219,3.476,0.419,0.126,0.49
CH_2019,CH,2019,92,29.57,17.65,41.05,7.782,39.025,31.24,21.22,41.45,0.022,0.032,0.067,1.273,0.061,0.018,0.08,0.21,0.259,0.931,0.558,1.958,0.207,0.246,0.389,0.073,5.281,1.407,0.107,1.885,5.381,1.7,0.033,0.015,0.075,0.026,0.255,0.707,0.149,0.052,0.284,0.225,0.339,0.038,0.542,2.582,0.189,10.706,10.691,7.142,4.151,0.14,5.362,0.265,3.733,1.296,23.029,0.123,0.211,4.18,0.252,0.033,0.168,0.089,0.344,0.427
IL_2019,IL,2019,3426,-2.05,-3.73,-0.27,11.124,12.469,1.35,0.14,2.55,0.024,0.008,0.049,5.29,0.426,0.015,0.105,0.233,0.03,0.153,0.918,4.336,0.234,0.365,2.787,0.193,16.517,3.047,1.724,3.191,5.131,3.61,0.174,0.046,0.084,0.127,1.197,0.926,1.535,6.528,0.647,0.687,2.209,0.149,2.078,2.83,1.424,3.038,8.951,3.47,7.286,0.841,0.311,0.042,0.172,0.073,3.219,0.186,0.068,0.035,1.867,0.334,0.575,0.267,0.064,0.175
L_2019,L,2019,991,-19.22,-22.46,-16.1,35.264,9.05,-26.21,-29.53,-23.39,0.345,0.02,0.412,0.043,0.019,0.018,0.92,0.845,0.039,0.635,3.015,6.813,0.086,0.061,0.865,0.043,3.384,1.364,3.518,0.206,0.468,1.947,0.259,0.093,0.047,0.036,0.24,0.495,0.394,6.968,0.382,0.639,0.105,0.226,8.345,14.169,3.166,8.634,9.888,0.438,7.781,0.075,0.666,0.488,0.363,0.453,3.343,0.938,0.18,0.049,3.324,0.034,1.763,0.238,0.211,0.504
PAN_2019,PAN,2019,1780,-19.88,-22.11,-17.69,39.165,7.228,-31.94,-34.37,-29.53,0.163,0.007,0.04,0.06,0.068,0.043,0.721,0.891,0.032,0.098,2.279,3.046,0.123,0.372,0.897,0.023,2.649,1.322,0.275,0.072,0.545,0.74,0.059,0.012,0.02,0.009,0.143,0.431,0.147,2.676,0.186,0.021,0.719,0.03,6.593,24.412,3.475,9.101,13.266,0.484,10.129,0.036,0.204,0.298,0.487,0.259,5.823,0.295,0.557,0.103,2.917,0.034,1.012,0.371,0.387,0.84
PCP_2019,PCP,2019,2099,-25.03,-27.62,-22.63,10.741,14.475,3.73,2.19,5.33,0.138,0.014,0.686,0.551,0.526,0.238,1.052,0.758,0.275,2.944,1.085,2.652,1.042,0.145,1.201,0.113,3.887,1.132,3.018,0.574,2.146,2.22,0.39,0.119,0.665,0.214,0.897,1.738,3.055,7.314,1.042,3.104,2.018,0.583,1.39,2.592,3.367,7.186,14.173,0.57,5.126,0.041,0.852,0.166,0.229,0.041,3.498,0.222,0.243,0.053,9.174,0.218,1.662,0.366,0.385,0.911
PEV_2019,PEV,2019,233,-30.02,-35.63,-23.51,43.652,4.564,-39.09,-44.91,-32.79,0.015,0.013,0.348,0.053,2.977,2.063,1.58,0.034,0.174,0.132,0.746,0.698,0.692,0.026,0.448,0.164,0.319,0.268,2.439,0.085,0.324,1.941,0.068,0.013,0.374,0.017,0.197,0.519,0.584,7.084,0.469,0.572,0.044,0.033,11.867,23.304,0.147,8.182,17.5,0.185,6.55,0.018,0.108,0.036,0.087,0.228,0.972,0.156,0.119,0.014,0.789,0.007,3.485,0.066,0.377,0.287
PS_2019,PS,2019,3552,-10.14,-11.65,-8.66,22.074,10.529,-11.54,-13.18,-10.08,0.433,0.006,0.014,2.017,0.035,0.018,1.123,0.787,0.035,0.061,0.756,2.764,0.065,0.042,2.161,0.056,8.941,1.539,0.435,0.355,2.93,1.718,0.368,0.235,0.111,0.069,0.479,0.609,2.416,11.698,0.142,0.067,1.176,0.012,6.705,8.788,4.707,7.061,9.115,0.471,5.286,0.048,0.969,0.552,0.559,0.08,3.819,0.29,0.466,0.218,3.291,0.042,2.595,0.158,0.448,0.659
PSD_2019,PSD,2019,2066,-3.19,-5.51,-1.08,18.093,14.066,-4.03,-6.14,-2.11,0.2,0.005,0.065,1.422,0.032,0.011,0.551,0.6,0.09,0.065,0.31,3.699,0.137,0.141,1.942,0.075,8.552,1.159,2.069,0.543,3.837,1.007,0.308,0.183,0.053,0.063,0.546,0.414,3.352,10.854,0.401,0.055,2.054,0.019,4.15,7.986,5.03,8.144,6.695,1.143,7.495,0.061,1.383,0.196,0.675,0.04,4.828,0.524,0.517,0.182,1.805,0.136,2.626,0.29,0.34,0.941
BE_2022,BE,2022,3153,-28.49,-30.15,-26.88,16.302,6.814,-9.49,-10.75,-8.36,0.112,0.023,0.399,0.09,0.116,0.062,0.682,0.201,0.146,1.108,1.134,1.906,0.101,0.045,1.164,0.08,3.242,2.041,1.78,0.754,0.891,2.453,0.14,0.059,0.065,0.05,0.846,1.66,0.446,6.375,1.061,3.105,2.426,0.137,4.146,6.771,3.246,11.747,18.501,0.933,5.653,0.058,0.312,0.285,0.193,0.65,2.639,0.186,0.349,0.1,5.839,0.17,1.53,0.556,0.556,0.681
CDSPP_2022,CDSPP,2022,180,7.87,-0.91,15.7,19.879,22.052,2.17,-5.87,9.41,0.04,0.006,0.021,2.885,0.061,0.014,0.075,1.628,0.025,0.283,4.627,6.994,0.14,0.591,2.953,0.682,5.179,5.076,1.227,1.618,5.105,1.367,0.182,0.012,0.028,0.031,0.881,1.078,4.526,1.192,0.434,0.065,0.733,0.025,2.162,3.435,6.141,2.904,7.655,1.728,5.976,0.325,1.857,0.05,5.656,0.774,5.565,0.397,0.059,0.028,0.829,0.022,3.937,0.119,0.027,0.571
CH_2022,CH,2022,137,27.42,16.23,37.7,4.835,39.419,34.58,27.32,42.41,0.008,0.013,0.068,6.614,0.276,0.017,0.022,0.016,0.075,0.174,1.19,1.879,0.054,0.035,0.121,0.034,3.744,0.913,7.113,1.157,1.591,0.446,0.138,0.026,0.354,0.031,0.433,1.099,0.765,0.989,0.144,0.081,2.524,0.111,0.286,0.368,0.103,7.823,11.577,6.186,8.731,0.182,5.05,0.398,4.786,0.131,13.927,1.394,0.252,0.913,0.463,0.052,2.638,0.189,0.088,2.207
IL_2022,IL,2022,7622,-20.61,-21.71,-19.49,11.45,5.502,-5.95,-6.58,-5.31,0.087,0.011,0.065,0.045,0.022,0.008,0.229,0.147,0.029,0.138,1.168,4.228,0.127,0.12,2.062,0.137,14.192,2.183,0.722,3.071,4.001,3.967,0.182,0.129,0.043,0.091,0.709,0.669,0.949,5.571,0.357,0.726,1.63,0.024,1.777,3.735,2.277,2.905,19.735,4.08,7.826,0.493,0.29,0.059,0.122,0.038,3.188,0.242,0.039,0.019,1.997,0.266,2.18,0.438,0.072,0.383
L_2022,L,2022,793,-21.68,-24.6,-18.77,35.886,5.647,-30.24,-33.6,-27.18,0.03,0.014,0.357,0.041,0.021,0.021,0.779,0.727,0.032,0.427,2.568,6.265,0.057,0.047,0.705,0.041,5.142,4.085,0.547,0.222,1.145,2.948,0.334,0.082,0.052,0.038,0.224,0.561,0.418,7.255,0.371,0.901,0.154,0.142,9.066,15.68,3.707,6.165,8.641,0.451,7.457,0.074,0.651,0.428,0.334,0.205,3.158,0.416,0.126,0.039,3.313,0.048,2.12,0.391,0.426,0.353
PAN_2022,PAN,2022,2657,-19.4,-21.15,-17.52,38.227,7.163,-31.06,-32.79,-29.1,0.104,0.011,0.077,0.039,0.042,0.041,0.819,0.681,0.023,0.209,2.167,3.345,0.202,0.128,1.017,0.029,3.474,2.97,0.552,0.197,0.632,0.749,0.099,0.021,0.021,0.019,0.182,0.393,0.278,2.253,0.131,0.038,0.278,0.02,7.394,22.633,2.942,9.353,16.442,0.376,6.567,0.028,0.328,0.323,0.246,0.264,5.396,0.422,0.517,0.093,1.879,0.02,1.435,0.323,0.735,1.041
PCP_2022,PCP,2022,434,-15.06,-20.7,-9.34,8.14,25.265,17.12,12.98,21.37,0.008,0.009,0.643,0.042,0.019,0.017,0.046,0.078,0.186,1.475,0.461,1.419,0.048,0.078,1.035,0.131,2.885,1.578,16.934,0.184,1.161,2.062,0.238,0.098,0.478,0.031,0.799,3.401,2.707,3.185,2.062,2.81,1.041,0.878,1.801,4.223,3.01,6.202,18.902,0.242,3.871,0.024,0.547,0.048,0.549,0.012,2.816,0.21,0.016,0.009,6.754,0.124,0.962,0.68,0.019,0.751
PEV_2022,PEV,2022,43,-5.19,-23.91,12.78,34.116,21.367,-12.75,-32.58,5.91,0.008,0.014,0.085,0.009,0.012,0.007,0.107,0.02,0.15,0.159,0.026,0.2,0.008,0.011,0.324,0.014,0.189,0.045,20.496,0.058,0.604,1.983,0.052,0.009,1.627,0.205,0.166,0.815,0.236,6.461,0.174,2.046,0.135,0.042,5.754,27.961,0.227,3.402,13.729,0.118,5.455,0.006,0.071,0.014,0.043,0.004,0.194,0.054,0.011,0.008,1.735,0.005,4.174,0.082,0.016,0.436
PS_2022,PS,2022,2362,-17.31,-19.13,-15.33,16.825,11.401,-5.42,-7.09,-3.67,0.48,0.007,0.024,3.727,0.041,0.108,1.552,0.739,0.051,0.037,0.439,3.245,0.077,0.038,3.306,0.054,8.819,1.636,0.226,0.291,2.762,1.715,0.231,0.395,0.054,0.049,0.461,0.767,3.047,8.723,0.183,0.043,0.853,0.013,4.427,5.683,6.48,7.512,13.05,0.475,7.761,0.022,0.811,0.334,0.568,0.022,2.862,0.373,0.235,0.071,2.813,0.04,1.288,0.199,0.345,0.439
PSD_2022,PSD,2022,2715,-3.09,-4.97,-1.28,17.848,16.073,-1.77,-3.51,0.01,0.258,0.005,0.048,1.393,0.045,0.015,0.697,0.652,0.039,0.065,0.241,2.794,0.093,0.407,2.137,0.084,8.371,1.693,2.725,0.87,4.005,1.159,0.389,0.165,0.111,0.108,0.841,0.609,4.69,9.49,0.326,0.146,1.77,0.017,4.132,8.223,2.862,5.715,8.017,0.706,7.267,0.052,1.067,0.419,0.521,0.016,5.386,0.526,0.612,0.188,1.484,0.031,5.016,0.294,0.332,0.674
BE_2024,BE,2024,3162,-30.35,-32.18,-28.69,15.317,7.888,-7.43,-8.61,-6.15,0.127,0.03,0.531,0.068,0.186,0.102,0.818,0.162,0.097,0.521,1.243,2.133,0.066,0.037,1.005,0.068,3.145,1.65,1.854,0.525,0.702,2.563,0.123,0.06,0.083,0.065,0.821,1.394,0.544,4.87,1.25,4.426,1.799,0.161,2.755,5.806,3.488,13.872,17.628,0.744,7.478,0.059,0.514,0.262,0.385,1.38,3.8,0.12,0.469,0.105,4.916,0.111,0.41,0.514,0.603,1.352
CDSPP_2024,CDSPP,2024,2400,-4.91,-6.91,-2.78,11.863,15.53,3.67,2.16,5.46,0.582,0.009,0.04,1.95,0.099,0.052,0.769,0.466,0.049,0.087,0.336,2.894,0.131,0.107,1.66,0.053,8.925,3.261,1.518,1.895,5.52,2.405,0.51,0.282,0.099,0.099,1.299,1.165,4.97,7.826,0.351,0.196,2.738,0.031,2.805,3.462,2.949,4.134,10.853,1.126,5.94,0.062,1.501,0.441,0.561,0.032,4.547,0.288,0.509,0.347,2.911,0.082,3.428,0.392,0.369,0.889
CH_2024,CH,2024,2024,-0.6,-3.0,1.66,13.444,21.925,8.48,6.45,10.28,0.098,0.012,0.081,2.339,0.066,0.04,0.485,0.352,0.431,1.159,0.913,3.723,0.449,0.765,1.523,0.078,8.005,4.309,1.669,0.94,2.543,1.169,0.148,0.063,0.084,0.041,0.526,0.98,1.829,6.496,0.322,0.408,0.255,0.024,2.169,5.17,5.428,3.874,10.177,1.093,5.265,0.114,3.119,0.159,1.944,0.143,9.062,0.209,0.223,0.375,3.213,0.049,2.787,0.478,0.348,2.276
IL_2024,IL,2024,450,10.98,5.99,16.5,22.694,9.057,-13.64,-17.2,-9.8,0.199,0.012,0.106,1.673,0.15,0.16,2.069,1.679,0.072,0.151,8.749,4.666,0.14,0.357,3.678,0.1,7.264,1.694,0.766,10.689,1.628,2.309,0.103,0.11,0.026,0.394,0.498,0.398,1.449,3.622,0.213,0.218,4.375,0.03,2.38,1.939,2.913,6.137,8.267,2.414,5.534,0.449,1.171,0.458,0.344,0.057,3.301,0.498,0.388,0.131,1.342,0.459,1.22,0.059,0.363,0.431
L_2024,L,2024,1704,-25.06,-27.43,-22.84,28.05,5.779,-22.27,-24.36,-20.33,0.192,0.017,0.368,0.244,0.078,0.247,0.642,0.759,0.03,0.127,2.305,4.103,0.057,0.171,1.233,0.06,4.158,1.728,0.445,0.204,1.453,2.161,0.236,0.064,0.051,0.033,0.238,0.486,0.456,7.731,0.387,0.373,0.109,0.042,6.057,12.133,6.181,7.73,15.506,0.39,7.547,0.087,0.329,0.09,0.672,1.035,3.431,0.517,0.601,0.044,3.551,0.056,1.91,0.277,0.344,0.525
PAN_2024,PAN,2024,1584,-19.78,-22.1,-17.26,34.911,8.982,-25.93,-28.43,-23.21,0.091,0.011,0.153,0.374,0.088,0.219,0.581,0.424,0.025,0.123,1.877,2.989,0.074,0.121,1.452,0.03,3.044,2.48,0.709,0.201,1.017,0.848,0.068,0.013,0.058,0.021,0.22,0.745,0.291,3.173,0.347,0.106,0.479,0.016,5.659,22.035,2.913,6.802,17.471,0.301,6.597,0.052,0.166,0.129,0.277,0.396,6.919,0.298,0.515,0.099,2.973,0.033,0.92,1.032,0.571,1.378
PCP_2024,PCP,2024,2292,-22.12,-24.29,-19.89,11.414,16.773,5.36,3.72,7.0,0.052,0.018,0.751,1.001,0.487,0.391,1.371,0.544,0.366,3.061,1.36,2.818,1.024,0.11,1.034,0.1,4.686,2.442,3.837,0.614,1.78,2.39,0.405,0.145,0.558,0.15,0.787,1.24,2.644,7.304,1.253,2.803,1.016,0.531,1.758,2.361,3.685,6.086,12.913,0.51,4.955,0.026,1.101,0.137,0.396,0.035,4.325,0.411,0.154,0.043,8.554,0.237,1.431,0.618,0.371,0.826
PEV_2024,PEV,2024,167,-19.86,-27.32,-12.53,31.519,8.978,-22.54,-29.16,-15.31,0.009,0.005,0.026,0.013,0.012,0.006,0.023,0.017,0.009,0.023,0.13,1.711,0.023,0.034,0.144,0.039,2.418,4.311,6.771,0.167,0.653,2.497,0.091,0.011,0.02,0.014,0.251,1.437,0.268,2.067,1.161,2.035,0.304,0.142,7.958,20.877,4.92,12.461,14.481,0.183,6.268,0.023,0.298,0.061,0.049,0.037,1.519,0.067,0.687,0.028,1.721,0.018,0.15,0.307,0.415,0.627
PS_2024,PS,2024,2284,-11.3,-13.31,-9.38,19.764,13.202,-6.56,-8.43,-4.78,0.496,0.007,0.031,1.911,0.044,0.168,1.473,1.882,0.024,0.094,0.467,3.812,0.104,0.11,3.92,0.073,5.711,1.17,0.879,0.351,2.322,1.448,0.271,0.44,0.092,0.084,0.493,0.896,3.578,13.428,0.15,0.15,1.133,0.015,4.713,6.567,4.076,6.103,10.965,0.739,5.172,0.026,0.628,0.199,0.16,0.118,5.838,0.4,0.321,0.089,2.541,0.072,2.844,0.314,0.405,0.482
PSD_2024,PSD,2024,2400,-4.91,-6.91,-2.78,11.863,15.53,3.67,2.16,5.46,0.582,0.009,0.04,1.95,0.099,0.052,0.769,0.466,0.049,0.087,0.336,2.894,0.131,0.107,1.66,0.053,8.925,3.261,1.518,1.895,5.52,2.405,0.51,0.282,0.099,0.099,1.299,1.165,4.97,7.826,0.351,0.196,2.738,0.031,2.805,3.462,2.949,4.134,10.853,1.126,5.94,0.062,1.501,0.441,0.561,0.032,4.547,0.288,0.509,0.347,2.911,0.082,3.428,0.392,0.369,0.889
